gamma   TP      TN      FP      FN      F1                  AUC                 G-mean
0.1	    70.0	76.0	16.0	22.0	0.7865168539325844	0.8460538752362949	0.7928079360352378	
1.0	    81.0	79.0	13.0	11.0	0.870967741935484	0.9657372400756143	0.8694972799547859	
10.0	91.0	84.0	8.0	    1.0	    0.9528795811518325	0.9907844990548205	0.9503257823649736	
20.0	92.0	84.0	8.0	    0.0	    0.9583333333333334	0.993265595463138	0.9555330859059091	
30.0	92.0	88.0	4.0	    0.0	    0.9787234042553191	0.9979914933837429	0.9780192938436515	
40.0	92.0	88.0	4.0	    0.0	    0.9787234042553191	0.9996455576559545	0.9780192938436515	
50.0	92.0	89.0	3.0	    0.0	    0.983957219251337	0.9998818525519848	0.9835605239881408	
60.0	92.0	89.0	3.0	    0.0	    0.983957219251337	1.0	                0.9835605239881408	
100.0	92.0	90.0	2.0	    0.0	    0.989247311827957	1.0	                0.9890707100936805	
500.0	91.0	92.0	0.0	    1.0	    0.994535519125683	1.0	                0.9945503681476412	
300.0	92.0	92.0	0.0	    0.0	    1.0	                1.0	                1.0	
